drug,reaction_term,a,b,c,d,prr,chi_square,signal_flag
AVANDIA,THROMBOSIS,327,95954,79296,20517113,0.8822,5.146,False
AVANDIA,PALPITATIONS,423,95858,115038,20481371,0.7866,24.5383,False
AVANDIA,DYSPNOEA,2006,94275,556121,20040288,0.7716,138.8303,False
AVANDIA,ANAEMIA,631,95650,187705,20408704,0.7191,69.6248,False
AVANDIA,DECREASED APPETITE,737,95544,227816,20368593,0.692,101.7957,False
AVANDIA,ABDOMINAL DISTENSION,329,95952,102274,20494135,0.6881,46.5775,False
AVANDIA,DEPRESSION,700,95581,224808,20371601,0.6661,118.0895,False
AVANDIA,VISION BLURRED,412,95869,134394,20462015,0.6558,74.6916,False
AVANDIA,JOINT SWELLING,292,95989,118592,20477817,0.5267,124.5886,False
AVANDIA,ASTHENIA,889,95392,370192,20226217,0.5137,415.6883,False
AVANDIA,ANXIETY,660,95621,280863,20315546,0.5027,328.4185,False
AVANDIA,HYPERHIDROSIS,296,95985,126961,20469448,0.4987,149.6984,False
AVANDIA,NAUSEA,1724,94557,776808,19819601,0.4748,1038.6517,False
AVANDIA,HYPOAESTHESIA,323,95958,147558,20448851,0.4683,196.006,False
AVANDIA,TREMOR,357,95924,163697,20432712,0.4665,219.0396,False
AVANDIA,PAIN,1279,95002,605879,19990530,0.4516,875.7455,False
AVANDIA,DIZZINESS,1002,95279,490283,20106126,0.4372,742.1057,False
AVANDIA,PAIN IN EXTREMITY,502,95779,290771,20305638,0.3693,547.4254,False
AVANDIA,GAIT DISTURBANCE,312,95969,189095,20407314,0.353,372.8799,False
AVANDIA,ABDOMINAL PAIN UPPER,315,95966,202409,20394000,0.3329,424.5642,False
AVANDIA,FATIGUE,1147,95134,765441,19830968,0.3206,1712.8277,False
AVANDIA,VOMITING,680,95601,461974,20134435,0.3149,1035.3423,False
AVANDIA,BACK PAIN,329,95952,229080,20367329,0.3072,518.9629,False
AVANDIA,CONDITION AGGRAVATED,404,95877,297577,20298832,0.2904,709.6695,False
AVANDIA,FALL,416,95865,327660,20268749,0.2716,824.7243,False
AVANDIA,PNEUMONIA,402,95879,318571,20277838,0.2699,805.1353,False
AVANDIA,FEELING ABNORMAL,286,95995,237094,20359315,0.258,616.4693,False
AVANDIA,HEADACHE,705,95576,617157,19979252,0.2444,1696.0345,False
AVANDIA,DIARRHOEA,632,95649,634089,19962320,0.2132,1891.0751,False
AVANDIA,MALAISE,348,95933,433415,20162994,0.1718,1418.4552,False
AVANDIA,ARTHRALGIA,300,95981,408583,20187826,0.1571,1383.4441,False
AVANDIA,DRUG INEFFECTIVE,858,95423,1298423,19297986,0.1414,4771.6098,False
