drug,reaction_term,a,b,c,d,prr,chi_square,signal_flag
VIOXX,ASTHMA,522,43757,110100,20538311,2.2109,346.4172,True
VIOXX,HYPERHIDROSIS,596,43683,126661,20521750,2.1943,387.9781,True
VIOXX,DYSPNOEA,2581,41698,555546,20092865,2.1665,1658.2707,True
VIOXX,PAIN IN EXTREMITY,1274,43005,289999,20358412,2.0486,690.5549,True
VIOXX,DRUG HYPERSENSITIVITY,827,43452,190828,20457583,2.0209,428.6592,True
VIOXX,ABDOMINAL PAIN,985,43294,228434,20419977,2.0108,503.9152,True
VIOXX,LOSS OF CONSCIOUSNESS,523,43756,126010,20522401,1.9355,236.9393,False
VIOXX,FALL,1324,42955,326752,20321659,1.8896,561.1196,False
VIOXX,DIZZINESS,1964,42315,489321,20159090,1.8717,813.4592,False
VIOXX,ABDOMINAL PAIN UPPER,802,43477,201922,20446489,1.8522,316.2976,False
VIOXX,OVERDOSE,837,43442,212933,20435478,1.833,318.9255,False
VIOXX,INSOMNIA,1003,43276,262238,20386173,1.7836,348.4038,False
VIOXX,PNEUMONIA,1193,43086,317780,20330631,1.7507,388.5508,False
VIOXX,ASTHENIA,1258,43021,369823,20278588,1.5863,276.6152,False
VIOXX,PAIN,2048,42231,605110,20043301,1.5783,445.5436,False
VIOXX,HYPOTENSION,644,43635,197002,20451409,1.5244,116.9197,False
VIOXX,ARTHRALGIA,1230,43049,407653,20240758,1.407,147.3036,False
VIOXX,CONSTIPATION,632,43647,212921,20435490,1.3842,67.886,False
VIOXX,MUSCLE SPASMS,530,43749,180606,20467805,1.3685,52.8899,False
VIOXX,HEADACHE,1772,42507,616090,20032321,1.3412,158.1277,False
VIOXX,COUGH,739,43540,275367,20373044,1.2515,37.7463,False
VIOXX,DEATH,2164,42115,847715,19800696,1.1904,68.5556,False
VIOXX,VOMITING,965,43314,461689,20186722,0.9747,0.6474,False
VIOXX,FATIGUE,1578,42701,765010,19883401,0.9619,2.4682,False
VIOXX,NAUSEA,1328,42951,777204,19871207,0.7968,71.3817,False
VIOXX,DIARRHOEA,1015,43264,633706,20014705,0.7469,89.6584,False
VIOXX,PYREXIA,508,43771,341142,20307269,0.6944,69.3589,False
VIOXX,RASH,544,43735,427337,20221074,0.5936,154.3273,False
VIOXX,MALAISE,531,43748,433232,20215179,0.5716,173.9713,False
VIOXX,DRUG INEFFECTIVE,1009,43270,1298272,19350139,0.3624,1206.6163,False
